# z      n(z)
0.0500000    0.126843
0.150000     0.211628
0.250000     0.266873
0.350000     0.307674
0.450000     0.337088
0.550000     0.355624
0.650000     0.363104
0.750000     0.359402
0.850000     0.344846
0.950000     0.320447
1.05000     0.287957
1.15000     0.249774
1.25000     0.208703
1.35000     0.167616
1.45000     0.129095
1.55000    0.0951234
1.65000    0.0668947
1.75000    0.0447875
1.85000    0.0284775
1.95000    0.0171529
2.05000   0.00976269
2.15000   0.00523717
2.25000   0.00264130
2.35000   0.00124918
2.45000  0.000552602
2.55000  0.000228073
2.65000  8.75990e-05
2.75000  3.12307e-05
2.85000  1.03090e-05
2.95000  3.14260e-06
3.05000  8.82468e-07
3.15000  2.27688e-07
3.25000  5.38406e-08
3.35000  1.16386e-08
3.45000  2.29410e-09
3.55000  4.11289e-10
3.65000  6.68954e-11
3.75000  9.84633e-12
3.85000  1.30820e-12
3.95000  1.56497e-13
4.05000  1.68139e-14
